line,priority,change_type,target_class,current_text,action,target_pattern,notes
5294,high,convert_blockquote_to_learn_div,learn-process,"> **Why this works:** The improved version is more accessible because it keeps the policy meaning intact while replacing specialist references with clear action-oriented explanation. It tells non-expert readers what is changing, why it matters, and what they need to do.",Convert process rationale to semantic Learn Div,"::: learn-process
**Learn — Why This Works:** ...
:::","Use only after a model/example/comparison; writing-process rationale, not vocabulary."
5306,low,convert_label_to_div_or_label,example,**Example:**,Convert block-level examples to semantic Div where appropriate,"::: example
**Example:** ...
:::",Only use Div if the example is block-level; otherwise compact inline label is enough.
5326,low,convert_label_to_div_or_label,example,**Example:**,Convert block-level examples to semantic Div where appropriate,"::: example
**Example:** ...
:::",Only use Div if the example is block-level; otherwise compact inline label is enough.
5337,medium,convert_label_to_div,worked-example,**Worked example:**,Convert worked example label to semantic Div,"::: worked-example
**Worked Example:** ...
:::",Block-level worked example; may be styled separately from ordinary examples.
5362,low,convert_label_to_div_or_label,example,**Example:**,Convert block-level examples to semantic Div where appropriate,"::: example
**Example:** ...
:::",Only use Div if the example is block-level; otherwise compact inline label is enough.
5386,high,add_activity_subtitle_and_standardize_heading,activity-heading,#### Rewrite the Model Text (D1),Keep as activity subheading; standardize punctuation/capitalization/subtitle,#### Rewrite the Model Text — Activity Focus (D1),Keep inline activity code in Markdown for QA; suppress/restyle in Word/PDF later.
5398,high,normalize_placeholder_line,placeholder,**Draft Here**,Normalize placeholder label and wrap/style as placeholder,"::: placeholder
Draft 
:::",Preserve placeholder token exactly if present.
5399,high,normalize_placeholder_line,placeholder,{{PH-2: U19-D1-guided-rewrite}},Normalize placeholder label and wrap or style as placeholder,"::: placeholder
 {{PH-2: U19-D1-guided-rewrite}}
:::",Preserve the placeholder token exactly.
5401,high,add_activity_subtitle_and_standardize_heading,activity-heading,#### Format Conversion (D7),Keep as activity subheading; standardize punctuation/capitalization/subtitle,#### Format Conversion — Activity Focus (D7),Keep inline activity code in Markdown for QA; suppress/restyle in Word/PDF later.
5403,high,convert_blockquote_to_learn_div,learn-transfer,"> **Transfer reminder:** When you simplify a specialist bulletin, preserve what matters for the reader’s action. Change the wording and explanation density, but do not drop the deadline, the core requirement, or the consequence of non-action.",Convert transfer reminder to semantic Learn Div,"::: learn-transfer
**Learn — Transfer Reminder:** ...
:::",Application/transfer reminder; likely orange/amber visual semantics.
5424,high,normalize_placeholder_line,placeholder,**Draft Here**,Normalize placeholder label and wrap/style as placeholder,"::: placeholder
Draft 
:::",Preserve placeholder token exactly if present.
5425,high,normalize_placeholder_line,placeholder,{{PH-3: U19-D7-format-conversion}},Normalize placeholder label and wrap or style as placeholder,"::: placeholder
 {{PH-3: U19-D7-format-conversion}}
:::",Preserve the placeholder token exactly.
5429,high,add_activity_subtitle_and_standardize_heading,activity-heading,#### Role-Based Writing Task (E3),Keep as activity subheading; standardize punctuation/capitalization/subtitle,#### Role-Based Writing Task — Activity Focus (E3),Keep inline activity code in Markdown for QA; suppress/restyle in Word/PDF later.
5431,medium,review_blockquote_label,learn-note,"> **Role reminder:** Your position in this task shapes how you write. You sit between the teams that produce policy and the offices that must implement it. Your job is not just to pass information on — it is to make sure that non-expert readers understand what is changing and what they need to do, without having to interpret specialist language on their own.",Review blockquote label and convert to semantic Div,"::: learn-note
**Learn — [Label]:** ...
:::",Instructional blockquotes should not remain as blockquotes.
5454,high,normalize_placeholder_line,placeholder,**Draft Here**,Normalize placeholder label and wrap/style as placeholder,"::: placeholder
Draft 
:::",Preserve placeholder token exactly if present.
5455,high,normalize_placeholder_line,placeholder,{{PH-4: U19-E3-role-based-write}},Normalize placeholder label and wrap or style as placeholder,"::: placeholder
 {{PH-4: U19-E3-role-based-write}}
:::",Preserve the placeholder token exactly.
5459,high,add_activity_subtitle_and_standardize_heading,activity-heading,#### Guided Peer Review (F1),Keep as activity subheading; standardize punctuation/capitalization/subtitle,#### Guided Peer Review — Structured Feedback Exchange (F1),Keep inline activity code in Markdown for QA; suppress/restyle in Word/PDF later.
5471,high,add_activity_subtitle_and_standardize_heading,activity-heading,#### Self-Editing Checklist (F3),Keep as activity subheading; standardize punctuation/capitalization/subtitle,#### Self-Editing Checklist — Final Revision Audit (F3),Keep inline activity code in Markdown for QA; suppress/restyle in Word/PDF later.
5506,high,normalize_placeholder_line,placeholder,**Write Your Revised Version**,Normalize placeholder label and wrap/style as placeholder,"::: placeholder
Revised Draft 
:::",Preserve placeholder token exactly if present.
5507,high,normalize_placeholder_line,placeholder,{{PH-3: U19-G2-editing-rewrite}},Normalize placeholder label and wrap or style as placeholder,"::: placeholder
 {{PH-3: U19-G2-editing-rewrite}}
:::",Preserve the placeholder token exactly.
5511,high,add_activity_subtitle_and_standardize_heading,activity-heading,#### Homework Writing Task (H3),Keep as activity subheading; standardize punctuation/capitalization/subtitle,#### Homework Writing Task — Independent Administrative Writing (H3),Keep inline activity code in Markdown for QA; suppress/restyle in Word/PDF later.
5530,high,normalize_placeholder_line,placeholder,**Homework Draft**,Normalize placeholder label and wrap/style as placeholder,"::: placeholder
Draft 
:::",Preserve placeholder token exactly if present.
5531,high,normalize_placeholder_line,placeholder,{{PH-4: U19-H3-homework-draft}},Normalize placeholder label and wrap or style as placeholder,"::: placeholder
 {{PH-4: U19-H3-homework-draft}}
:::",Preserve the placeholder token exactly.
5533,high,add_activity_subtitle_and_standardize_heading,activity-heading,#### Extension Task (H1),Keep as activity subheading; standardize punctuation/capitalization/subtitle,#### Extension Task — Advanced Transfer Practice (H1),Keep inline activity code in Markdown for QA; suppress/restyle in Word/PDF later.
5561,high,add_activity_subtitle_and_standardize_heading,activity-heading,#### Problem Identification (A2),Keep as activity subheading; standardize punctuation/capitalization/subtitle,#### Problem Identification — Activity Focus (A2),Keep inline activity code in Markdown for QA; suppress/restyle in Word/PDF later.
5577,medium,standardize_minor_heading_punctuation_capitalization,heading,#### Compare the Versions (B1),Standardize punctuation/capitalization,#### Compare the Texts (B1),Keep as heading only if it is a true theory subsection or micro-label.
5581,medium,convert_or_review_blockquote_group,semantic-div,"> *""We changed the process because the old one was confusing. The new one should be better.""*",Review blockquote group and replace with appropriate semantic Div,"::: learn-note / learn-language / learn-process / model-good / model-bad
...
:::",All instructional blockquotes should be replaced today.
5585,medium,convert_or_review_blockquote_group,semantic-div,"> *""The applicant communication process has been revised to align with the updated terminology and sequencing requirements issued in Circular 2024/05. The previous process contained duplicated verification steps and inconsistent terminology, which led to variation in how offices interpreted the requirements. The revised process removes the duplication, clarifies each step, and establishes a consistent sequence across offices. This adjustment supports more efficient review and ensures compliance with current interagency standards.""*",Review blockquote group and replace with appropriate semantic Div,"::: learn-note / learn-language / learn-process / model-good / model-bad
...
:::",All instructional blockquotes should be replaced today.
5595,high,convert_blockquote_to_learn_div,learn-process,"> **Why this works:** The stronger justification makes the logic visible. It states the decision, identifies the problem that required it, links the change to a policy or standards basis, and explains the benefit that follows.",Convert process rationale to semantic Learn Div,"::: learn-process
**Learn — Why This Works:** ...
:::","Use only after a model/example/comparison; writing-process rationale, not vocabulary."
5601,high,add_activity_subtitle_and_standardize_heading,activity-heading,#### 1. Stating the Decision Clearly,Keep as activity subheading; standardize punctuation/capitalization/subtitle,#### 1. Stating the Decision Clearly — Activity Focus,Keep inline activity code in Markdown for QA; suppress/restyle in Word/PDF later.
5607,low,convert_label_to_div_or_label,example,**Example:**,Convert block-level examples to semantic Div where appropriate,"::: example
**Example:** ...
:::",Only use Div if the example is block-level; otherwise compact inline label is enough.
5635,low,convert_label_to_div_or_label,example,**Example:**,Convert block-level examples to semantic Div where appropriate,"::: example
**Example:** ...
:::",Only use Div if the example is block-level; otherwise compact inline label is enough.
5663,low,convert_label_to_div_or_label,example,**Example:**,Convert block-level examples to semantic Div where appropriate,"::: example
**Example:** ...
:::",Only use Div if the example is block-level; otherwise compact inline label is enough.
5705,medium,convert_label_to_div,worked-example,**Worked example:**,Convert worked example label to semantic Div,"::: worked-example
**Worked Example:** ...
:::",Block-level worked example; may be styled separately from ordinary examples.
5717,high,add_activity_subtitle_and_standardize_heading,activity-heading,#### Rewrite the Original Justification (D1),Keep as activity subheading; standardize punctuation/capitalization/subtitle,#### Rewrite the Original Justification — Activity Focus (D1),Keep inline activity code in Markdown for QA; suppress/restyle in Word/PDF later.
5729,high,normalize_placeholder_line,placeholder,**Draft Here**,Normalize placeholder label and wrap/style as placeholder,"::: placeholder
Draft 
:::",Preserve placeholder token exactly if present.
5730,high,normalize_placeholder_line,placeholder,{{PH-2: U20-D1-guided-rewrite}},Normalize placeholder label and wrap or style as placeholder,"::: placeholder
 {{PH-2: U20-D1-guided-rewrite}}
:::",Preserve the placeholder token exactly.
5732,high,add_activity_subtitle_and_standardize_heading,activity-heading,#### Draft a Justification for One Scenario (D2),Keep as activity subheading; standardize punctuation/capitalization/subtitle,#### Draft a Justification for One Scenario — Activity Focus (D2),Keep inline activity code in Markdown for QA; suppress/restyle in Word/PDF later.
5734,high,convert_blockquote_to_learn_div,learn-transfer,"> **Transfer reminder:** Keep the sequence visible in your paragraph. State the decision first, then show why it was made, then explain what improvement it is expected to produce.",Convert transfer reminder to semantic Learn Div,"::: learn-transfer
**Learn — Transfer Reminder:** ...
:::",Application/transfer reminder; likely orange/amber visual semantics.
5749,high,normalize_placeholder_line,placeholder,**Draft Here**,Normalize placeholder label and wrap/style as placeholder,"::: placeholder
Draft 
:::",Preserve placeholder token exactly if present.
5750,high,normalize_placeholder_line,placeholder,{{PH-3: U20-D2-guided-draft}},Normalize placeholder label and wrap or style as placeholder,"::: placeholder
 {{PH-3: U20-D2-guided-draft}}
:::",Preserve the placeholder token exactly.
5754,high,add_activity_subtitle_and_standardize_heading,activity-heading,#### Scenario-Based Free Write (E1),Keep as activity subheading; standardize punctuation/capitalization/subtitle,#### Scenario-Based Free Write — Realistic Administrative Response (E1),Keep inline activity code in Markdown for QA; suppress/restyle in Word/PDF later.
5775,high,normalize_placeholder_line,placeholder,**Draft Here**,Normalize placeholder label and wrap/style as placeholder,"::: placeholder
Draft 
:::",Preserve placeholder token exactly if present.
5776,high,normalize_placeholder_line,placeholder,{{PH-4: U20-E1-freer-write}},Normalize placeholder label and wrap or style as placeholder,"::: placeholder
 {{PH-4: U20-E1-freer-write}}
:::",Preserve the placeholder token exactly.
5780,high,add_activity_subtitle_and_standardize_heading,activity-heading,#### Guided Peer Review (F1),Keep as activity subheading; standardize punctuation/capitalization/subtitle,#### Guided Peer Review — Structured Feedback Exchange (F1),Keep inline activity code in Markdown for QA; suppress/restyle in Word/PDF later.
5792,high,add_activity_subtitle_and_standardize_heading,activity-heading,#### Self-Editing Checklist (F3),Keep as activity subheading; standardize punctuation/capitalization/subtitle,#### Self-Editing Checklist — Final Revision Audit (F3),Keep inline activity code in Markdown for QA; suppress/restyle in Word/PDF later.
5825,high,normalize_placeholder_line,placeholder,**Write Your Revised Version**,Normalize placeholder label and wrap/style as placeholder,"::: placeholder
Revised Draft 
:::",Preserve placeholder token exactly if present.
5826,high,normalize_placeholder_line,placeholder,{{PH-3: U20-G2-editing-rewrite}},Normalize placeholder label and wrap or style as placeholder,"::: placeholder
 {{PH-3: U20-G2-editing-rewrite}}
:::",Preserve the placeholder token exactly.
5830,high,add_activity_subtitle_and_standardize_heading,activity-heading,#### Homework Writing Task (H3),Keep as activity subheading; standardize punctuation/capitalization/subtitle,#### Homework Writing Task — Independent Administrative Writing (H3),Keep inline activity code in Markdown for QA; suppress/restyle in Word/PDF later.
5847,high,normalize_placeholder_line,placeholder,**Homework Draft**,Normalize placeholder label and wrap/style as placeholder,"::: placeholder
Draft 
:::",Preserve placeholder token exactly if present.
5848,high,normalize_placeholder_line,placeholder,{{PH-4: U20-H3-homework-draft}},Normalize placeholder label and wrap or style as placeholder,"::: placeholder
 {{PH-4: U20-H3-homework-draft}}
:::",Preserve the placeholder token exactly.
5850,high,add_activity_subtitle_and_standardize_heading,activity-heading,#### Extension Task (H1),Keep as activity subheading; standardize punctuation/capitalization/subtitle,#### Extension Task — Advanced Transfer Practice (H1),Keep inline activity code in Markdown for QA; suppress/restyle in Word/PDF later.
5878,high,add_activity_subtitle_and_standardize_heading,activity-heading,#### Real Document Analysis (A5),Keep as activity subheading; standardize punctuation/capitalization/subtitle,#### Real Document Analysis — Activity Focus (A5),Keep inline activity code in Markdown for QA; suppress/restyle in Word/PDF later.
5898,medium,standardize_minor_heading_punctuation_capitalization,heading,#### Compare the Versions (B1),Standardize punctuation/capitalization,#### Compare the Texts (B1),Keep as heading only if it is a true theory subsection or micro-label.
5902,medium,convert_or_review_blockquote_group,semantic-div,"> *""Some offices are confused about the new guidelines. Other offices have not used the new form. We need to send another message and explain everything again.""*",Review blockquote group and replace with appropriate semantic Div,"::: learn-note / learn-language / learn-process / model-good / model-bad
...
:::",All instructional blockquotes should be replaced today.
5906,medium,review_blockquote_label,learn-note,> **Summary**,Review blockquote label and convert to semantic Div,"::: learn-note
**Learn — [Label]:** ...
:::",Instructional blockquotes should not remain as blockquotes.
5909,medium,review_blockquote_label,learn-note,> **Issues Identified**,Review blockquote label and convert to semantic Div,"::: learn-note
**Learn — [Label]:** ...
:::",Instructional blockquotes should not remain as blockquotes.
5914,medium,review_blockquote_label,learn-note,> **Actions Taken**,Review blockquote label and convert to semantic Div,"::: learn-note
**Learn — [Label]:** ...
:::",Instructional blockquotes should not remain as blockquotes.
5919,medium,review_blockquote_label,learn-note,> **Outstanding Questions**,Review blockquote label and convert to semantic Div,"::: learn-note
**Learn — [Label]:** ...
:::",Instructional blockquotes should not remain as blockquotes.
5923,medium,review_blockquote_label,learn-note,> **Next Steps**,Review blockquote label and convert to semantic Div,"::: learn-note
**Learn — [Label]:** ...
:::",Instructional blockquotes should not remain as blockquotes.
5927,high,convert_blockquote_to_learn_div,learn-process,"> **Why this works:** The improved report is easier to use because it groups information by reporting function rather than by office or by chronology. Readers can immediately see the overall status, the issues, the actions already taken, the unresolved questions, and what happens next.",Convert process rationale to semantic Learn Div,"::: learn-process
**Learn — Why This Works:** ...
:::","Use only after a model/example/comparison; writing-process rationale, not vocabulary."
5929,high,add_activity_subtitle_and_standardize_heading,activity-heading,#### Structural Deconstruction (B3),Keep as activity subheading; standardize punctuation/capitalization/subtitle,#### Structural Deconstruction — Activity Focus (B3),Keep inline activity code in Markdown for QA; suppress/restyle in Word/PDF later.
5939,high,add_activity_subtitle_and_standardize_heading,activity-heading,#### Data Interpretation Input (B7),Keep as activity subheading; standardize punctuation/capitalization/subtitle,#### Data Interpretation Input — Activity Focus (B7),Keep inline activity code in Markdown for QA; suppress/restyle in Word/PDF later.
5959,medium,normalize_bold_structural_label,semantic-label,"**Writing task:** Using the data above, write the *Issues Identified* and *Outstanding Questions* sections of a consolidated administrative report. Your writing should:",Convert bold structural label to compact label style or Div if block-level,**Writing Task:** ...,Reduce accidental visual emphasis if surrounding style already indicates structure.
5978,low,convert_label_to_div_or_label,example,**Example:**,Convert block-level examples to semantic Div where appropriate,"::: example
**Example:** ...
:::",Only use Div if the example is block-level; otherwise compact inline label is enough.
6005,low,convert_label_to_div_or_label,example,**Example:**,Convert block-level examples to semantic Div where appropriate,"::: example
**Example:** ...
:::",Only use Div if the example is block-level; otherwise compact inline label is enough.
6031,low,convert_label_to_div_or_label,example,**Example:**,Convert block-level examples to semantic Div where appropriate,"::: example
**Example:** ...
:::",Only use Div if the example is block-level; otherwise compact inline label is enough.
6058,low,convert_label_to_div_or_label,example,**Example:**,Convert block-level examples to semantic Div where appropriate,"::: example
**Example:** ...
:::",Only use Div if the example is block-level; otherwise compact inline label is enough.
6082,high,add_activity_subtitle_and_standardize_heading,activity-heading,#### Rewrite the Original Report (D1),Keep as activity subheading; standardize punctuation/capitalization/subtitle,#### Rewrite the Original Report — Activity Focus (D1),Keep inline activity code in Markdown for QA; suppress/restyle in Word/PDF later.
6095,high,normalize_placeholder_line,placeholder,**Draft Here**,Normalize placeholder label and wrap/style as placeholder,"::: placeholder
Draft 
:::",Preserve placeholder token exactly if present.
6096,high,normalize_placeholder_line,placeholder,{{PH-2: U21-D1-guided-rewrite}},Normalize placeholder label and wrap or style as placeholder,"::: placeholder
 {{PH-2: U21-D1-guided-rewrite}}
:::",Preserve the placeholder token exactly.
6098,high,add_activity_subtitle_and_standardize_heading,activity-heading,#### Information Reorganisation (D5),Keep as activity subheading; standardize punctuation/capitalization/subtitle,#### Information Reorganisation — Activity Focus (D5),Keep inline activity code in Markdown for QA; suppress/restyle in Word/PDF later.
6114,high,normalize_placeholder_line,placeholder,**Draft Here**,Normalize placeholder label and wrap/style as placeholder,"::: placeholder
Draft 
:::",Preserve placeholder token exactly if present.
6115,high,normalize_placeholder_line,placeholder,{{PH-3: U21-D5-reorganised-version}},Normalize placeholder label and wrap or style as placeholder,"::: placeholder
 {{PH-3: U21-D5-reorganised-version}}
:::",Preserve the placeholder token exactly.
6117,high,add_activity_subtitle_and_standardize_heading,activity-heading,#### Format Conversion (D7),Keep as activity subheading; standardize punctuation/capitalization/subtitle,#### Format Conversion — Activity Focus (D7),Keep inline activity code in Markdown for QA; suppress/restyle in Word/PDF later.
6119,high,convert_blockquote_to_learn_div,learn-transfer,"> **Transfer reminder:** When converting a narrative update into a report, group points under the section that matches their function. Do not let unresolved questions remain buried inside status description.",Convert transfer reminder to semantic Learn Div,"::: learn-transfer
**Learn — Transfer Reminder:** ...
:::",Application/transfer reminder; likely orange/amber visual semantics.
6132,high,normalize_placeholder_line,placeholder,**Draft Here**,Normalize placeholder label and wrap/style as placeholder,"::: placeholder
Draft 
:::",Preserve placeholder token exactly if present.
6133,high,normalize_placeholder_line,placeholder,{{PH-3: U21-D7-format-conversion}},Normalize placeholder label and wrap or style as placeholder,"::: placeholder
 {{PH-3: U21-D7-format-conversion}}
:::",Preserve the placeholder token exactly.
6137,high,add_activity_subtitle_and_standardize_heading,activity-heading,#### Multi-Part Portfolio Task (E4),Keep as activity subheading; standardize punctuation/capitalization/subtitle,#### Multi-Part Portfolio Task — Activity Focus (E4),Keep inline activity code in Markdown for QA; suppress/restyle in Word/PDF later.
6148,medium,normalize_bold_structural_label,semantic-label,**Part A:** Write the Summary and Issues Identified sections (approximately 80-100 words combined).,Convert bold structural label to compact label style or Div if block-level,**Part a:** ...,Reduce accidental visual emphasis if surrounding style already indicates structure.
6150,medium,normalize_bold_structural_label,semantic-label,**Part B:** Write the Actions Taken and Outstanding Questions sections (approximately 80-100 words combined).,Convert bold structural label to compact label style or Div if block-level,**Part B:** ...,Reduce accidental visual emphasis if surrounding style already indicates structure.
6172,high,normalize_placeholder_line,placeholder,{{PH-3: U21-E4-part-a-summary-issues}},Normalize placeholder label and wrap or style as placeholder,"::: placeholder
 {{PH-3: U21-E4-part-a-summary-issues}}
:::",Preserve the placeholder token exactly.
6175,high,normalize_placeholder_line,placeholder,{{PH-3: U21-E4-part-b-actions-questions}},Normalize placeholder label and wrap or style as placeholder,"::: placeholder
 {{PH-3: U21-E4-part-b-actions-questions}}
:::",Preserve the placeholder token exactly.
6178,high,normalize_placeholder_line,placeholder,{{PH-2: U21-E4-part-c-next-steps-closing}},Normalize placeholder label and wrap or style as placeholder,"::: placeholder
 {{PH-2: U21-E4-part-c-next-steps-closing}}
:::",Preserve the placeholder token exactly.
6182,high,add_activity_subtitle_and_standardize_heading,activity-heading,#### Comparative Peer Review (F2),Keep as activity subheading; standardize punctuation/capitalization/subtitle,#### Comparative Peer Review — Activity Focus (F2),Keep inline activity code in Markdown for QA; suppress/restyle in Word/PDF later.
6190,high,add_activity_subtitle_and_standardize_heading,activity-heading,#### Self-Editing Checklist (F3),Keep as activity subheading; standardize punctuation/capitalization/subtitle,#### Self-Editing Checklist — Final Revision Audit (F3),Keep inline activity code in Markdown for QA; suppress/restyle in Word/PDF later.
6225,high,normalize_placeholder_line,placeholder,**Write Your Revised Version**,Normalize placeholder label and wrap/style as placeholder,"::: placeholder
Revised Draft 
:::",Preserve placeholder token exactly if present.
6226,high,normalize_placeholder_line,placeholder,{{PH-3: U21-G2-editing-rewrite}},Normalize placeholder label and wrap or style as placeholder,"::: placeholder
 {{PH-3: U21-G2-editing-rewrite}}
:::",Preserve the placeholder token exactly.
6230,high,add_activity_subtitle_and_standardize_heading,activity-heading,#### Homework Writing Task (H3),Keep as activity subheading; standardize punctuation/capitalization/subtitle,#### Homework Writing Task — Independent Administrative Writing (H3),Keep inline activity code in Markdown for QA; suppress/restyle in Word/PDF later.
6242,high,normalize_placeholder_line,placeholder,**Homework Draft**,Normalize placeholder label and wrap/style as placeholder,"::: placeholder
Draft 
:::",Preserve placeholder token exactly if present.
6243,high,normalize_placeholder_line,placeholder,{{PH-4: U21-H3-homework-draft}},Normalize placeholder label and wrap or style as placeholder,"::: placeholder
 {{PH-4: U21-H3-homework-draft}}
:::",Preserve the placeholder token exactly.
6245,high,add_activity_subtitle_and_standardize_heading,activity-heading,#### Extension Task (H1),Keep as activity subheading; standardize punctuation/capitalization/subtitle,#### Extension Task — Advanced Transfer Practice (H1),Keep inline activity code in Markdown for QA; suppress/restyle in Word/PDF later.
6273,high,add_activity_subtitle_and_standardize_heading,activity-heading,#### Prediction Task (A4),Keep as activity subheading; standardize punctuation/capitalization/subtitle,#### Prediction Task — Activity Focus (A4),Keep inline activity code in Markdown for QA; suppress/restyle in Word/PDF later.
6277,medium,normalize_bold_structural_label,semantic-label,**Input 1 — Email from Office A**,Convert bold structural label to compact label style or Div if block-level,**Input 1 — Email from Office a:** ...,Reduce accidental visual emphasis if surrounding style already indicates structure.
6280,medium,normalize_bold_structural_label,semantic-label,**Input 2 — Email from Office B**,Convert bold structural label to compact label style or Div if block-level,**Input 2 — Email from Office B:** ...,Reduce accidental visual emphasis if surrounding style already indicates structure.
6283,medium,normalize_bold_structural_label,semantic-label,**Input 3 — Internal Meeting Notes**,Convert bold structural label to compact label style or Div if block-level,**Input 3 — Internal Meeting Notes:** ...,Reduce accidental visual emphasis if surrounding style already indicates structure.
6286,medium,normalize_bold_structural_label,semantic-label,**Input 4 — Updated Instructions (issued last week)**,Convert bold structural label to compact label style or Div if block-level,**Input 4 — Updated Instructions (issued Last Week):** ...,Reduce accidental visual emphasis if surrounding style already indicates structure.
6311,medium,convert_or_review_blockquote_group,semantic-div,"> *""This notice summarises the current implementation status of Circular 2024/11 and identifies actions required from all examining offices.*",Review blockquote group and replace with appropriate semantic Div,"::: learn-note / learn-language / learn-process / model-good / model-bad
...
:::",All instructional blockquotes should be replaced today.
6323,medium,standardize_minor_heading_punctuation_capitalization,heading,#### Compare the Versions (B1),Standardize punctuation/capitalization,#### Compare the Texts (B1),Keep as heading only if it is a true theory subsection or micro-label.
6336,high,convert_blockquote_to_learn_div,learn-process,"> **Why this works:** The integrated response is more useful because it brings the inputs together under a shared purpose. Instead of reacting to each source separately, it identifies the common implementation problem and turns it into coordinated action.",Convert process rationale to semantic Learn Div,"::: learn-process
**Learn — Why This Works:** ...
:::","Use only after a model/example/comparison; writing-process rationale, not vocabulary."
6342,high,add_activity_subtitle_and_standardize_heading,activity-heading,#### 1. Error Identification and Correction (C4),Keep as activity subheading; standardize punctuation/capitalization/subtitle,#### 1. Error Identification and Correction — Activity Focus (C4),Keep inline activity code in Markdown for QA; suppress/restyle in Word/PDF later.
6356,high,add_activity_subtitle_and_standardize_heading,activity-heading,#### 2. Paragraph-Level Transformation (C5),Keep as activity subheading; standardize punctuation/capitalization/subtitle,#### 2. Paragraph-Level Transformation — Activity Focus (C5),Keep inline activity code in Markdown for QA; suppress/restyle in Word/PDF later.
6369,medium,convert_label_to_div,worked-example,**Worked example:**,Convert worked example label to semantic Div,"::: worked-example
**Worked Example:** ...
:::",Block-level worked example; may be styled separately from ordinary examples.
6381,high,add_activity_subtitle_and_standardize_heading,activity-heading,#### Model Rewriting (D1),Keep as activity subheading; standardize punctuation/capitalization/subtitle,#### Model Rewriting — Improve Tone and Cohesion (D1),Keep inline activity code in Markdown for QA; suppress/restyle in Word/PDF later.
6393,high,normalize_placeholder_line,placeholder,**Draft Here**,Normalize placeholder label and wrap/style as placeholder,"::: placeholder
Draft 
:::",Preserve placeholder token exactly if present.
6394,high,normalize_placeholder_line,placeholder,{{PH-2: U22-D1-guided-rewrite}},Normalize placeholder label and wrap or style as placeholder,"::: placeholder
 {{PH-2: U22-D1-guided-rewrite}}
:::",Preserve the placeholder token exactly.
6398,high,convert_blockquote_to_learn_div,learn-transfer,"> **Transfer reminder:** In revision, check whether your draft synthesises issues, uses a format that fits the audience, and turns the inputs into clear action. If it still reads like a list of separate source notes, the integration is not yet complete.",Convert transfer reminder to semantic Learn Div,"::: learn-transfer
**Learn — Transfer Reminder:** ...
:::",Application/transfer reminder; likely orange/amber visual semantics.
6418,high,normalize_placeholder_line,placeholder,**Write Your Revised Version**,Normalize placeholder label and wrap/style as placeholder,"::: placeholder
Revised Draft 
:::",Preserve placeholder token exactly if present.
6419,high,normalize_placeholder_line,placeholder,{{PH-3: U22-D6-revision-chain}},Normalize placeholder label and wrap or style as placeholder,"::: placeholder
 {{PH-3: U22-D6-revision-chain}}
:::",Preserve the placeholder token exactly.
6423,high,add_activity_subtitle_and_standardize_heading,activity-heading,#### Multi-Part Portfolio Task (E4),Keep as activity subheading; standardize punctuation/capitalization/subtitle,#### Multi-Part Portfolio Task — Activity Focus (E4),Keep inline activity code in Markdown for QA; suppress/restyle in Word/PDF later.
6427,medium,normalize_bold_structural_label,semantic-label,"**Part A — Analysis (NOT SUBMITTED; approximately 60 words):** Write a brief planning note identifying: the main issues, the audiences who need to be addressed, and the most appropriate document format.",Convert bold structural label to compact label style or Div if block-level,**Part a — Analysis (NOT SUBMITTED; Approximately 60 Words):** ...,Reduce accidental visual emphasis if surrounding style already indicates structure.
6429,medium,normalize_bold_structural_label,semantic-label,**Part B — Full Administrative Document (approximately 200–240 words):** Write the document itself. Choose the format that best fits the scenario:,Convert bold structural label to compact label style or Div if block-level,**Part B — Full Administrative Document (approximately 200–240 Words):** ...,Reduce accidental visual emphasis if surrounding style already indicates structure.
6446,high,normalize_placeholder_line,placeholder,**Planning Notes (Not Submitted)**,Normalize placeholder label and wrap/style as placeholder,"::: placeholder
Planning Notes 
:::",Preserve placeholder token exactly if present.
6447,high,normalize_placeholder_line,placeholder,{{PH-1: U22-E4-part-a-planning}},Normalize placeholder label and wrap or style as placeholder,"::: placeholder
 {{PH-1: U22-E4-part-a-planning}}
:::",Preserve the placeholder token exactly.
6452,high,normalize_placeholder_line,placeholder,{{PH-4: U22-E4-part-b-full-document}},Normalize placeholder label and wrap or style as placeholder,"::: placeholder
 {{PH-4: U22-E4-part-b-full-document}}
:::",Preserve the placeholder token exactly.
6456,high,add_activity_subtitle_and_standardize_heading,activity-heading,#### Comparative Peer Review (F2),Keep as activity subheading; standardize punctuation/capitalization/subtitle,#### Comparative Peer Review — Activity Focus (F2),Keep inline activity code in Markdown for QA; suppress/restyle in Word/PDF later.
6464,high,add_activity_subtitle_and_standardize_heading,activity-heading,#### Self-Editing Checklist (F3),Keep as activity subheading; standardize punctuation/capitalization/subtitle,#### Self-Editing Checklist — Final Revision Audit (F3),Keep inline activity code in Markdown for QA; suppress/restyle in Word/PDF later.
6480,high,add_activity_subtitle_and_standardize_heading,activity-heading,#### Track-Change Simulation (G3),Keep as activity subheading; standardize punctuation/capitalization/subtitle,#### Track-Change Simulation — Activity Focus (G3),Keep inline activity code in Markdown for QA; suppress/restyle in Word/PDF later.
6499,high,normalize_placeholder_line,placeholder,**Clean Copy**,Normalize placeholder label and wrap/style as placeholder,"::: placeholder
Final Version 
:::",Preserve placeholder token exactly if present.
